cutoff,outcome,spec,covariates,tau_conv,tau_bc,se_robust,p_robust,ci_lo,ci_hi,h,n_left,n_right
0.4,y_log_ccu,raw,,0.5646516170063647,0.7642050232455652,0.48204327136897435,0.11288790732567788,-0.18058242762749233,1.7089924741186227,0.04475304255120928,54,68
0.4,y_log_ccu,leaner [primary],log_price|months_since_release|has_multiplayer|dlc_count_f,0.8091183593707257,0.9906270966000412,0.4757037766789238,0.03730181382626909,0.05826482699966573,1.9229893662004167,0.0441931206656372,54,68
0.4,y_log_ccu,with_reviews [bad control],log_price|log_total_reviews|months_since_release|has_multiplayer|dlc_count_f,0.3407453824432598,0.4370341790155054,0.3365501514480382,0.19409128512518403,-0.22259199681415015,1.096660354845161,0.05682666149180131,62,79
0.4,y_log_ccu,minimal,log_price|months_since_release,0.7077902537103083,0.8900735487689313,0.5046958111671432,0.07780201296458224,-0.09911206426689745,1.87925916180476,0.044450938355933646,54,68
0.4,y_log_owners,raw,,0.46282799592788315,0.5219508545264304,0.3964801732527426,0.18801921694047785,-0.25513600563314587,1.2990377146860066,0.052790946645168216,61,75
0.4,y_log_owners,leaner [primary],log_price|months_since_release|has_multiplayer|dlc_count_f,0.6950984332623998,0.7768699340935941,0.3522993142201328,0.027444147630396706,0.08637596644397405,1.467363901743214,0.05177273415087089,60,75
0.4,y_log_owners,with_reviews [bad control],log_price|log_total_reviews|months_since_release|has_multiplayer|dlc_count_f,0.33086558438585356,0.3667173232976146,0.26706344191531767,0.1697066997553709,-0.15671740444371268,0.8901520510389418,0.07021441266827665,73,108
0.4,y_log_owners,minimal,log_price|months_since_release,0.5524854882815893,0.61752743543547,0.39074543647205606,0.11401918801112931,-0.14831954717314366,1.3833744180440837,0.05087662461439539,59,72
0.7,y_log_ccu,raw,,2.2013666133448044,2.485996968071653,1.0984401048819858,0.02362295247391238,0.33309392332856147,4.638900012814744,0.03843283472649342,68,79
0.7,y_log_ccu,leaner [primary],log_price|months_since_release|has_multiplayer|dlc_count_f,1.583662093348678,1.7582860425783178,0.9661378514712131,0.06877237990285058,-0.13530935040616798,3.6518814355628035,0.041790278025556744,74,92
0.7,y_log_ccu,with_reviews [bad control],log_price|log_total_reviews|months_since_release|has_multiplayer|dlc_count_f,0.7367157207232048,0.7930636853377689,0.6264892509646262,0.20555406317184022,-0.43483268325437374,2.0209600539299117,0.05483088805857835,88,132
0.7,y_log_ccu,minimal,log_price|months_since_release,1.9468125524615791,2.2051475703820684,1.0367067752391494,0.03341429231491528,0.17323962838467466,4.237055512379462,0.040929172406425594,72,89
0.7,y_log_owners,raw,,0.6250335136857164,0.7312374044046788,0.47928091093552216,0.12708536464629971,-0.20813591950649402,1.6706107283158516,0.03677561189715223,65,73
0.7,y_log_owners,leaner [primary],log_price|months_since_release|has_multiplayer|dlc_count_f,0.956179968036053,1.0917524073181575,0.4651601792212362,0.01892291085974041,0.18005520900233773,2.0034496056339774,0.03549024483687595,62,72
0.7,y_log_owners,with_reviews [bad control],log_price|log_total_reviews|months_since_release|has_multiplayer|dlc_count_f,0.3487344649272317,0.41370746758034777,0.27534918626576693,0.13297241870751855,-0.12596702067296633,0.9533819558336618,0.044285550503064174,75,98
0.7,y_log_owners,minimal,log_price|months_since_release,1.012613195521067,1.158757311724933,0.4638646960941084,0.012487849704332386,0.24959921368086302,2.067915409769003,0.03422494886427781,58,68
