genre,n,tau,tau_bc,se,p,ci_lo,ci_hi,h,n_left,n_right
Action,689,0.7282970673004503,0.5998606959888385,0.5206707696785571,0.24928321683381172,-0.4206352603838829,1.62035665236156,0.08777563230804428,53,77
Adventure,493,0.43479811339937474,0.3364010268576505,0.519133866960965,0.5169821083259587,-0.6810826555408487,1.3538847092561497,0.0745129334481548,33,45
Casual,229,12.913698519165305,13.462788823260578,11.397642400276771,0.23752698823173957,-8.876179789948548,35.8017574364697,0.029922089835246937,6,2
Early Access,149,1.852948050840669,2.126299301783682,0.5398612356404582,8.195727106932385e-05,1.0681907232790926,3.1844078802882714,0.04629149405070477,7,16
Free To Play,285,0.4873948423475087,0.7155693326160312,0.385076529096144,0.06313319902400268,-0.0391667957041012,1.4703054609361637,0.04407167075844963,10,21
Indie,525,1.0233352967731189,1.1729526212455197,0.4587010722362701,0.01055435057513463,0.27391503999252453,2.071990202498515,0.04000643994118376,25,29
Massively Multiplayer,214,0.4999994720716955,0.8676584018090002,1.7911129808924733,0.6280848753799103,-2.6428585329824252,4.3781753366004255,0.04933382010712012,9,15
RPG,394,2.288287978410285,2.6179671848744213,0.7816658838147447,0.0008104085186706329,1.0859302046538513,4.150004165094991,0.04346807291026569,14,16
Simulation,342,0.5662441948501781,0.4181251270359287,1.7515333743125294,0.8113231146553623,-3.014817204336542,3.8510674584083997,0.05952945957445194,17,20
Sports,77,-5.969840880119841,-6.289232302453261,9.482338464348189,0.5071656374996563,-24.874274181794554,12.295809576888033,0.06318263048510221,3,5
Strategy,350,-0.03663389253374916,-0.07658536922885684,0.5080712734640155,0.8801828282973074,-1.072386766797728,0.9192160283400144,0.05516699703966233,13,20
